event_month,aar,std,n,se,t_stat,api,news,spec
-12,-0.003171506696428562,0.11739693009129627,1344,0.0032022638005881204,-0.9903951997477817,1.0,Good,Simple(EW)+SUE
-11,0.0009616822916666717,0.11834926734499479,1344,0.003228240928875024,0.2978966913729696,1.0009616822916667,Good,Simple(EW)+SUE
-10,0.019526210565476192,0.10538575075918123,1344,0.0028746320239505826,6.792594809627663,1.020506670868067,Good,Simple(EW)+SUE
-9,-0.002012130208333332,0.11575404592734406,1344,0.0031574504610681485,-0.6372642209729679,1.0184532785678078,Good,Simple(EW)+SUE
-8,0.0004977410714285731,0.13125546615374137,1344,0.0035802863632513936,0.13902269844598564,1.0189602045938821,Good,Simple(EW)+SUE
-7,0.020272160714285715,0.11132228639264131,1344,0.003036564309106139,6.6760188985601125,1.0396167296228707,Good,Simple(EW)+SUE
-6,0.011112877976190476,0.10961849524872239,1344,0.0029900895955025444,3.716570230171559,1.0511698634811757,Good,Simple(EW)+SUE
-5,0.018344645833333333,0.12011634497632552,1344,0.00327644192294905,5.598953457664752,1.0704532023374114,Good,Simple(EW)+SUE
-4,-0.003514326636904764,0.09034943038736948,1344,0.0024644827603944285,-1.4259895396234434,1.066691280134877,Good,Simple(EW)+SUE
-3,0.0068975882352941146,0.11231811308887135,1343,0.0030648681252787345,2.2505334498419285,1.0740488773594261,Good,Simple(EW)+SUE
-2,0.03494330133928571,0.13124845144592684,1344,0.0035800950214089047,9.760439633676029,1.1115796909341182,Good,Simple(EW)+SUE
-1,0.012242966517857142,0.11461584666815294,1344,0.0031264035309420415,3.9159904972881465,1.1251887238721545,Good,Simple(EW)+SUE
0,0.014681354910714286,0.10658937526759987,1344,0.0029074635740585137,5.049540445392633,1.1417080188688553,Good,Simple(EW)+SUE
1,0.02180434523809524,0.13672122339576176,1344,0.003729377114988367,5.846645315236042,1.1666022146733737,Good,Simple(EW)+SUE
2,0.0007531082089552265,0.09639274792985841,1340,0.0026332492064341326,0.28599959590420354,1.1674807923778292,Good,Simple(EW)+SUE
3,-0.002137522064323109,0.10417486095571911,1337,0.0028490313349631047,-0.750262743021319,1.1649852764244482,Good,Simple(EW)+SUE
4,-0.01164548159278738,0.11621994767915746,1331,0.0031856029719545547,-3.655660072931873,1.151418461831979,Good,Simple(EW)+SUE
5,0.005032518045112782,0.09455337445867025,1330,0.002592693699164124,1.9410384060158166,1.1572129960186242,Good,Simple(EW)+SUE
6,0.018628407686510928,0.1133175612174558,1327,0.0031107259903586123,5.9884437730124205,1.1787700314885878,Good,Simple(EW)+SUE
7,0.01737676093514329,0.12157347255605672,1326,0.0033386205311150613,5.204772681769752,1.1992532365232766,Good,Simple(EW)+SUE
8,-0.0003450833333333335,0.09528184643400472,1320,0.0026225465099543386,-0.13158330348899772,1.1988393942189062,Good,Simple(EW)+SUE
9,-0.007478831050228309,0.11362545008042449,1314,0.003134569719388457,-2.385919510409678,1.189873476933185,Good,Simple(EW)+SUE
10,0.010767504643962844,0.13380153957479848,1292,0.003722458406576108,2.892578900261433,1.2026854451217912,Good,Simple(EW)+SUE
11,-0.02848078007181329,0.09182048307042294,1114,0.0027510404611252987,-10.352730348489086,1.1684320254637066,Good,Simple(EW)+SUE
12,-0.04955651674641148,0.07018393211625434,209,0.004854724097580785,-10.207895598249667,1.110528604226771,Good,Simple(EW)+SUE
