event_month,aar,std,n,se,t_stat,api,news,size
-12,0.017546896729776256,0.13269528555197554,581,0.005505128075273461,3.187373025632039,1.0,Good,Small
-11,-0.019035812392426847,0.14226674048065685,581,0.005902218936715249,-3.2251959130172176,0.9809641876075732,Good,Small
-10,0.0065547177280550805,0.12873158509942242,581,0.005340686071531155,1.2273175468963422,0.9873941309586719,Good,Small
-9,-0.012382027538726331,0.14169487793776897,581,0.00587849408072693,-2.106326444951558,0.9751681896375649,Good,Small
-8,0.002984041308089502,0.15231873153149555,581,0.006319245795779465,0.47221478710046394,0.9780781317977782,Good,Small
-7,0.010881413080895009,0.13457816623541755,581,0.00558324312864321,1.9489412927535028,0.98872100397526,Good,Small
-6,0.011944080895008605,0.13277235481430813,581,0.00550832544704174,2.1683687737483273,1.0005303676293347,Good,Small
-5,0.012961370051635111,0.14767270444478542,581,0.006126496113323636,2.115625279423142,1.0134986119720768,Good,Small
-4,-0.021029994836488815,0.11365657218135468,581,0.004715269151064463,-4.459977609494748,0.9921847413955155,Good,Small
-3,0.0013748244406196174,0.13948631948129575,581,0.005786867636622019,0.23757661777488773,0.9935488212275958,Good,Small
-2,0.052148944922547326,0.1593587290273232,581,0.006611314106291938,7.887833505432387,1.0453613439836555,Good,Small
-1,0.02529150430292599,0.14066603739290734,581,0.005835810582628734,4.333845991885066,1.0718001049131305,Good,Small
0,0.024587958691910498,0.13334823128876938,581,0.005532216828971842,4.444503795141404,1.09815348161872,Good,Small
1,0.02790935111876076,0.16308131878055215,581,0.006765753152697991,4.125091543966735,1.1288022327195062,Good,Small
2,-0.016074382352941174,0.11820400067904298,578,0.0049166382613841505,-3.2693847906589437,1.1106574340299191,Good,Small
3,-0.0072080017391304325,0.1319646935748134,575,0.005503308151394728,-1.309757974810783,1.1026518133138534,Good,Small
4,-0.011165602094240838,0.13523180259353948,573,0.005649389599716569,-1.9764262841424527,1.0903400419178977,Good,Small
5,0.00460551048951049,0.11497686803995985,572,0.0048074243617028025,0.9579995737840804,1.095361614418084,Good,Small
6,0.03423238003502627,0.13724119455462297,571,0.005743365239828766,5.960334856929086,1.1328584494786238,Good,Small
7,0.012796826315789473,0.14700643753294004,570,0.0061574220904710925,2.0782766111800552,1.1473554422969763,Good,Small
8,-0.006258154255319149,0.11613502864266358,564,0.0048901668737267165,-1.2797424744219232,1.1401751149534016,Good,Small
9,-0.005718150000000001,0.13979937973721945,560,0.005907602029665929,-0.9679308069984123,1.1336554226198308,Good,Small
10,0.009431446691176466,0.15713585636346672,544,0.0067371442603727585,1.3999175803094106,1.144347433304433,Good,Small
11,-0.018657414392059556,0.11728798983515588,403,0.005842530927741585,-3.1933787981284216,1.1229968690327823,Good,Small
12,-0.05389401234567902,0.06514770447039823,81,0.007238633830044248,-7.4453292722156625,1.0624740619089708,Good,Small
-12,0.005926319755600823,0.1372296663013548,491,0.006193088144055691,0.9569248196942068,1.0,Bad,Small
-11,-0.012468747454175148,0.1443604668125032,491,0.00651489666617394,-1.913882612891507,0.9875312525458249,Bad,Small
